id,user_id,order_date,status
1,70,2023-06-08,placed
2,41,2023-05-23,completed
3,75,2023-10-07,returned
4,68,2023-10-13,completed
5,66,2023-12-19,completed
6,9,2023-05-28,placed
7,31,2024-07-11,completed
8,73,2023-08-28,returned
9,77,2023-06-13,returned
10,11,2024-07-26,placed
11,75,2023-11-21,returned
12,41,2023-09-04,completed
13,86,2023-09-16,completed
14,34,2023-11-08,completed
15,86,2023-09-09,shipped
16,41,2023-05-31,completed
17,59,2023-10-26,completed
18,10,2024-02-23,completed
19,65,2023-08-09,completed
20,45,2023-03-10,completed
21,48,2024-05-09,completed
22,57,2024-11-08,placed
23,39,2024-02-10,completed
24,86,2024-01-17,completed
25,85,2023-04-20,completed
26,34,2023-06-18,completed
27,96,2024-05-31,completed
28,35,2023-09-11,returned
29,27,2024-05-02,completed
30,88,2023-10-06,returned
31,63,2024-06-02,completed
32,12,2023-12-26,completed
33,6,2023-05-02,completed
34,99,2023-06-28,placed
35,34,2023-07-11,placed
36,57,2024-11-12,placed
37,55,2024-08-22,completed
38,15,2023-08-11,placed
39,20,2024-07-29,completed
40,48,2024-10-09,returned
41,19,2024-06-26,completed
42,6,2023-10-05,completed
43,6,2023-10-31,completed
44,88,2023-09-28,placed
45,14,2023-08-18,returned
46,53,2024-04-15,completed
47,21,2023-04-25,shipped
48,4,2024-01-30,placed
49,43,2023-09-25,placed
50,95,2023-05-10,completed
51,21,2023-03-21,shipped
52,5,2023-09-14,completed
53,26,2024-08-02,completed
54,40,2024-02-20,completed
55,4,2024-02-06,shipped
56,43,2023-07-19,completed
57,99,2023-09-12,completed
58,83,2024-05-15,shipped
59,87,2023-12-13,completed
60,4,2023-12-29,completed
61,23,2024-05-07,completed
62,5,2023-03-13,returned
63,56,2024-01-04,placed
64,41,2023-12-03,returned
65,66,2024-01-06,shipped
66,74,2024-04-05,completed
67,6,2023-12-10,completed
68,67,2024-07-06,placed
69,93,2023-12-14,completed
70,56,2023-08-16,placed
71,43,2023-08-06,placed
72,16,2023-10-17,returned
73,40,2024-05-23,completed
74,52,2024-06-05,returned
75,17,2024-01-09,shipped
76,86,2023-10-20,placed
77,96,2023-11-19,returned
78,73,2023-09-25,shipped
79,71,2023-06-24,completed
80,37,2023-09-01,shipped
81,75,2023-07-19,shipped
82,57,2024-09-17,placed
83,28,2024-09-27,shipped
84,95,2023-03-30,placed
85,11,2024-05-18,returned
86,85,2023-08-16,completed
87,97,2024-04-22,placed
88,40,2024-02-19,completed
89,19,2023-12-01,completed
90,32,2023-12-28,returned
91,99,2023-05-30,shipped
92,54,2023-12-16,completed
93,92,2023-10-10,shipped
94,52,2024-05-09,completed
95,84,2023-02-04,completed
96,100,2024-08-17,completed
97,23,2024-04-05,shipped
98,7,2023-10-27,completed
99,16,2024-01-05,completed
100,60,2024-03-05,returned
101,77,2023-11-02,shipped
102,79,2024-07-08,shipped
103,71,2024-02-07,completed
104,96,2024-04-21,shipped
105,34,2023-08-24,placed
106,36,2024-08-19,shipped
107,81,2023-06-21,completed
108,57,2024-03-14,placed
109,37,2023-09-14,completed
110,43,2023-08-09,returned
111,11,2024-03-04,completed
112,30,2024-06-08,placed
113,20,2024-02-10,completed
114,54,2023-09-21,completed
115,70,2024-01-01,shipped
116,8,2024-04-17,shipped
117,50,2023-12-24,placed
118,3,2024-10-03,shipped
119,62,2023-02-17,completed
120,39,2023-12-01,shipped
121,69,2024-06-28,returned
122,29,2024-05-01,completed
123,35,2023-11-29,shipped
124,4,2024-05-17,completed
125,86,2023-11-02,placed
126,22,2023-10-08,completed
127,80,2024-05-31,completed
128,51,2024-01-05,placed
129,4,2023-12-12,placed
130,55,2024-01-17,shipped
131,24,2023-12-18,completed
132,49,2024-07-06,completed
133,59,2023-06-27,completed
134,98,2023-10-02,completed
135,97,2024-07-26,completed
136,11,2024-08-21,completed
137,96,2024-05-24,completed
138,45,2023-05-28,placed
139,9,2023-05-14,completed
140,32,2023-08-09,completed
141,80,2023-11-18,completed
142,17,2024-06-01,placed
143,15,2024-04-17,completed
144,60,2023-10-17,completed
145,22,2023-04-10,completed
146,40,2023-12-21,returned
147,4,2024-04-07,returned
148,87,2023-09-22,shipped
149,92,2023-07-07,completed
150,76,2023-06-11,completed
151,90,2023-07-25,placed
152,77,2023-07-24,returned
153,6,2023-10-25,returned
154,55,2024-05-16,completed
155,65,2023-09-17,completed
156,54,2023-11-02,completed
157,56,2024-01-13,placed
158,59,2023-03-30,shipped
159,23,2024-04-07,placed
160,35,2024-01-20,shipped
161,60,2024-01-17,placed
162,76,2023-06-24,completed
163,32,2023-06-12,completed
164,58,2024-03-07,shipped
165,73,2023-11-04,completed
166,4,2024-07-10,completed
167,24,2024-07-29,completed
168,46,2024-03-14,completed
169,36,2024-04-16,returned
170,2,2024-01-15,completed
171,11,2024-04-26,placed
172,53,2024-10-03,returned
173,98,2023-07-23,placed
174,61,2024-01-11,shipped
175,3,2024-01-30,completed
176,29,2024-03-20,placed
177,32,2023-10-02,placed
178,75,2023-08-12,shipped
179,71,2024-03-21,completed
180,55,2024-08-16,completed
181,46,2024-06-22,completed
182,40,2024-03-03,completed
183,16,2023-08-23,completed
184,16,2024-02-15,placed
185,24,2024-02-29,completed
186,95,2023-09-07,completed
187,93,2024-05-30,returned
188,37,2023-07-07,completed
189,38,2024-05-13,completed
190,23,2023-12-16,completed
191,91,2023-10-09,completed
192,36,2023-12-20,completed
193,71,2023-11-20,placed
194,17,2024-06-10,completed
195,2,2024-02-13,completed
196,61,2024-01-05,shipped
197,44,2024-03-19,completed
198,33,2024-03-26,completed
199,9,2023-11-15,shipped
200,10,2024-03-14,placed
201,88,2023-06-20,completed
202,20,2024-08-07,completed
203,11,2024-04-30,completed
204,72,2024-05-12,returned
205,77,2023-09-16,returned
206,49,2024-09-07,shipped
207,39,2023-12-21,completed
208,73,2023-05-24,returned
209,95,2023-02-22,completed
210,81,2023-06-07,completed
211,85,2023-04-08,completed
212,31,2024-03-15,returned
213,10,2023-08-12,completed
214,53,2024-09-13,placed
215,77,2024-01-19,completed
216,5,2023-05-15,completed
217,91,2023-06-02,placed
218,59,2023-02-16,placed
219,30,2024-04-08,placed
220,76,2023-05-19,shipped
221,15,2024-04-07,completed
222,83,2023-11-13,completed
223,19,2023-12-25,completed
