id,order_id,product_id,quantity
1,1,2,3
2,1,7,3
3,2,8,3
4,2,3,1
5,3,11,2
6,3,8,2
7,3,11,1
8,3,8,2
9,4,2,2
10,4,6,3
11,5,11,2
12,5,12,2
13,5,8,2
14,6,7,2
15,6,2,1
16,7,10,2
17,7,10,2
18,7,12,2
19,7,1,3
20,8,5,1
21,8,10,3
22,8,12,1
23,8,10,3
24,9,5,1
25,9,10,2
26,9,4,3
27,9,4,3
28,10,11,3
29,10,11,3
30,10,3,3
31,11,11,3
32,12,5,2
33,13,10,2
34,14,2,2
35,14,6,3
36,15,3,1
37,15,3,3
38,15,6,3
39,15,9,2
40,16,5,2
41,16,5,3
42,17,2,2
43,17,2,1
44,17,4,3
45,18,9,2
46,18,2,2
47,18,1,2
48,18,9,1
49,19,6,3
50,19,12,3
51,19,5,3
52,19,7,3
53,20,2,3
54,20,4,2
55,20,1,3
56,21,10,1
57,21,11,1
58,21,11,2
59,22,11,2
60,22,2,1
61,22,1,1
62,23,8,1
63,23,2,1
64,23,9,1
65,24,8,2
66,24,11,3
67,24,12,3
68,24,7,3
69,25,7,3
70,25,2,2
71,26,5,1
72,26,12,2
73,26,4,2
74,26,8,1
75,27,2,3
76,27,6,3
77,27,11,2
78,28,7,2
79,29,2,2
80,29,2,3
81,30,11,3
82,30,10,1
83,31,6,1
84,32,10,1
85,32,2,3
86,33,10,1
87,33,4,2
88,34,10,1
89,34,5,1
90,35,9,2
91,35,3,1
92,36,3,1
93,37,4,3
94,37,6,1
95,37,3,2
96,38,3,3
97,39,9,1
98,39,12,1
99,39,8,2
100,39,6,3
101,40,8,3
102,41,10,1
103,41,12,3
104,42,8,3
105,42,1,1
106,42,8,2
107,43,11,1
108,43,8,3
109,43,8,1
110,43,2,2
111,44,2,1
112,44,5,3
113,45,7,3
114,45,9,2
115,45,8,3
116,46,2,3
117,46,2,3
118,46,11,3
119,46,12,1
120,47,8,1
121,47,7,2
122,47,8,2
123,47,7,3
124,48,6,2
125,49,11,2
126,49,6,1
127,49,11,2
128,50,2,1
129,51,7,1
130,52,3,3
131,52,1,3
132,52,9,3
133,53,11,1
134,53,7,2
135,53,11,2
136,54,5,3
137,55,6,1
138,55,10,3
139,55,4,1
140,56,4,1
141,56,6,3
142,56,6,1
143,56,5,3
144,57,7,3
145,57,10,3
146,58,10,3
147,59,1,1
148,59,5,3
149,59,5,2
150,60,1,1
151,60,3,3
152,60,11,2
153,61,3,3
154,62,2,3
155,63,7,2
156,63,8,2
157,64,6,2
158,64,12,2
159,65,1,1
160,66,10,1
161,66,11,1
162,67,8,3
163,67,7,2
164,67,10,2
165,68,5,1
166,68,9,1
167,68,6,2
168,68,2,2
169,69,9,3
170,69,5,1
171,69,4,2
172,69,10,1
173,70,4,2
174,71,3,2
175,71,5,2
176,72,1,2
177,73,3,1
178,73,7,3
179,73,12,1
180,73,9,3
181,74,2,2
182,74,12,1
183,74,7,1
184,75,2,2
185,75,10,2
186,75,10,2
187,75,12,3
188,76,5,1
189,76,7,1
190,76,6,1
191,76,10,2
192,77,2,2
193,77,2,1
194,77,7,3
195,78,9,1
196,78,7,2
197,78,12,2
198,78,4,2
199,79,2,3
200,79,11,1
201,80,6,2
202,80,12,3
203,81,4,1
204,81,3,2
205,82,3,3
206,82,3,3
207,83,3,3
208,84,8,3
209,84,10,2
210,84,11,3
211,84,11,3
212,85,11,2
213,85,3,2
214,85,2,2
215,86,11,2
216,86,5,3
217,86,1,2
218,86,9,1
219,87,8,2
220,87,1,1
221,87,6,2
222,88,11,1
223,89,8,3
224,89,9,3
225,89,1,2
226,89,10,3
227,90,6,3
228,90,8,3
229,91,1,2
230,91,2,2
231,92,9,3
232,93,1,1
233,93,12,2
234,94,9,3
235,94,10,1
236,94,6,2
237,94,5,2
238,95,6,3
239,95,10,1
240,95,11,3
241,95,6,1
242,96,2,3
243,96,11,2
244,96,5,2
245,97,6,1
246,97,10,3
247,98,6,2
248,98,11,3
249,99,3,3
250,99,12,1
251,99,5,3
252,99,7,3
253,100,3,3
254,100,12,3
255,100,11,3
256,101,11,3
257,102,9,2
258,102,1,2
259,102,5,1
260,102,4,2
261,103,4,1
262,103,3,1
263,103,2,2
264,103,2,3
265,104,11,2
266,105,10,2
267,105,3,1
268,106,12,3
269,106,3,3
270,107,1,2
271,107,6,3
272,107,12,1
273,107,8,3
274,108,12,2
275,108,4,3
276,108,4,2
277,109,4,2
278,109,11,3
279,109,8,2
280,109,5,2
281,110,3,1
282,110,10,1
283,110,5,1
284,110,11,2
285,111,9,1
286,111,12,3
