order_id,customer_id,order_date,status
1001,1,2024-04-01,completed
1002,2,2024-04-02,completed
1003,3,2024-04-02,completed
1004,1,2024-04-05,completed
1005,4,2024-04-06,returned
1006,5,2024-04-07,completed
1007,6,2024-04-09,completed
1008,2,2024-04-10,shipped
1009,7,2024-04-11,completed
1010,8,2024-04-12,completed
1011,3,2024-04-14,completed
1012,9,2024-04-15,cancelled
1013,10,2024-04-16,completed
1014,1,2024-04-18,completed
1015,11,2024-04-19,completed
1016,12,2024-04-20,shipped
1017,5,2024-04-22,completed
1018,13,2024-04-23,completed
1019,4,2024-04-25,completed
1020,14,2024-04-27,completed
1021,6,2024-04-28,completed
1022,15,2024-04-29,completed
1023,2,2024-04-30,completed
1024,7,2024-05-01,completed
1025,8,2024-05-02,shipped
